OrderID,OrderDate,CustomerID,ProductID,Product,Category,Region,Channel,Quantity,UnitPrice,Discount,SalesAmount
ORD0066,2026-03-07,CUST006,P006,Headset,Accessories,South,Partner,2,3500,0.1,6300.0
ORD0067,2026-03-08,CUST007,P001,Laptop,Electronics,East,Online,7,65000,0,455000
ORD0068,2026-03-09,CUST008,P002,Monitor,Electronics,West,Retail,4,18000,0,72000
ORD0069,2026-03-10,CUST009,P003,Keyboard,Accessories,North,Partner,4,2200,0.1,7920.0
ORD0070,2026-03-11,CUST010,P004,Mouse,Accessories,South,Online,3,900,0,2700
ORD0071,2026-03-12,CUST011,P005,Printer,Office,East,Retail,6,12500,0,75000
ORD0072,2026-03-13,CUST012,P006,Headset,Accessories,West,Partner,2,3500,0,7000
ORD0073,2026-03-14,CUST013,P001,Laptop,Electronics,North,Online,3,65000,0,195000
ORD0074,2026-03-15,CUST014,P002,Monitor,Electronics,South,Retail,6,18000,0,108000
ORD0075,2026-03-16,CUST015,P003,Keyboard,Accessories,East,Partner,2,2200,0,4400
ORD0076,2026-03-17,CUST016,P004,Mouse,Accessories,West,Online,7,900,0,6300
ORD0077,2026-03-18,CUST017,P005,Printer,Office,North,Retail,5,12500,0.05,59375.0
ORD0078,2026-03-19,CUST018,P006,Headset,Accessories,South,Partner,6,3500,0.1,18900.0
ORD0079,2026-03-20,CUST019,P001,Laptop,Electronics,East,Online,2,65000,0,130000
ORD0080,2026-03-21,CUST020,P002,Monitor,Electronics,West,Retail,8,18000,0.1,129600.0
ORD0081,2026-03-22,CUST001,P003,Keyboard,Accessories,North,Partner,8,2200,0.1,15840.0
ORD0082,2026-03-23,CUST002,P004,Mouse,Accessories,South,Online,5,900,0,4500
ORD0083,2026-03-24,CUST003,P005,Printer,Office,East,Retail,3,12500,0,37500
ORD0084,2026-03-25,CUST004,P006,Headset,Accessories,West,Partner,6,3500,0.05,19950.0
ORD0085,2026-03-26,CUST005,P001,Laptop,Electronics,North,Online,8,65000,0,520000
ORD0086,2026-03-27,CUST006,P002,Monitor,Electronics,South,Retail,1,18000,0,18000
ORD0087,2026-03-28,CUST007,P003,Keyboard,Accessories,East,Partner,6,2200,0,13200
ORD0088,2026-03-29,CUST008,P004,Mouse,Accessories,West,Online,1,900,0.05,855.0
ORD0089,2026-03-30,CUST009,P005,Printer,Office,North,Retail,2,12500,0.05,23750.0
ORD0090,2026-03-31,CUST010,P006,Headset,Accessories,South,Partner,6,3500,0,21000
ORD0091,2026-01-01,CUST011,P001,Laptop,Electronics,East,Online,6,65000,0,390000
ORD0092,2026-01-02,CUST012,P002,Monitor,Electronics,West,Retail,6,18000,0,108000
ORD0093,2026-01-03,CUST013,P003,Keyboard,Accessories,North,Partner,4,2200,0,8800
ORD0094,2026-01-04,CUST014,P004,Mouse,Accessories,South,Online,7,900,0,6300
ORD0095,2026-01-05,CUST015,P005,Printer,Office,East,Retail,4,12500,0.1,45000.0
ORD0096,2026-01-06,CUST016,P006,Headset,Accessories,West,Partner,6,3500,0,21000
ORD0097,2026-01-07,CUST017,P001,Laptop,Electronics,North,Online,1,65000,0.05,61750.0
ORD0098,2026-01-08,CUST018,P002,Monitor,Electronics,South,Retail,8,18000,0.05,136800.0
ORD0099,2026-01-09,CUST019,P003,Keyboard,Accessories,East,Partner,4,2200,0.05,8360.0
ORD0100,2026-01-10,CUST020,P004,Mouse,Accessories,West,Online,8,900,0.05,6840.0
ORD0101,2026-01-11,CUST001,P005,Printer,Office,North,Retail,6,12500,0,75000
ORD0102,2026-01-12,CUST002,P006,Headset,Accessories,South,Partner,4,3500,0,14000
ORD0103,2026-01-13,CUST003,P001,Laptop,Electronics,East,Online,4,65000,0.1,234000.0
ORD0104,2026-01-14,CUST004,P002,Monitor,Electronics,West,Retail,4,18000,0.05,68400.0
ORD0105,2026-01-15,CUST005,P003,Keyboard,Accessories,North,Partner,4,2200,0.1,7920.0
ORD0106,2026-01-16,CUST006,P004,Mouse,Accessories,South,Online,1,900,0.1,810.0
ORD0107,2026-01-17,CUST007,P005,Printer,Office,East,Retail,6,12500,0,75000
ORD0108,2026-01-18,CUST008,P006,Headset,Accessories,West,Partner,2,3500,0.1,6300.0
ORD0109,2026-01-19,CUST009,P001,Laptop,Electronics,North,Online,4,65000,0.1,234000.0
ORD0110,2026-01-20,CUST010,P002,Monitor,Electronics,South,Retail,3,18000,0.1,48600.0
ORD0111,2026-01-21,CUST011,P003,Keyboard,Accessories,East,Partner,6,2200,0,13200
ORD0112,2026-01-22,CUST012,P004,Mouse,Accessories,West,Online,7,900,0.1,5670.0
ORD0113,2026-01-23,CUST013,P005,Printer,Office,North,Retail,7,12500,0,87500
ORD0114,2026-01-24,CUST014,P006,Headset,Accessories,South,Partner,3,3500,0,10500
ORD0115,2026-01-25,CUST015,P001,Laptop,Electronics,East,Online,3,65000,0,195000
ORD0116,2026-01-26,CUST016,P002,Monitor,Electronics,West,Retail,3,18000,0.1,48600.0
ORD0117,2026-01-27,CUST017,P003,Keyboard,Accessories,North,Partner,3,2200,0.1,5940.0
ORD0118,2026-01-28,CUST018,P004,Mouse,Accessories,South,Online,6,900,0,5400
ORD0119,2026-01-29,CUST019,P005,Printer,Office,East,Retail,3,12500,0,37500
ORD0120,2026-01-30,CUST020,P006,Headset,Accessories,West,Partner,1,3500,0,3500
ORD0121,2026-01-31,CUST001,P001,Laptop,Electronics,North,Online,3,65000,0.1,175500.0
ORD0122,2026-02-01,CUST002,P002,Monitor,Electronics,South,Retail,4,18000,0,72000
ORD0123,2026-02-02,CUST003,P003,Keyboard,Accessories,East,Partner,1,2200,0.05,2090.0
ORD0124,2026-02-03,CUST004,P004,Mouse,Accessories,West,Online,4,900,0.05,3420.0
ORD0125,2026-02-04,CUST005,P005,Printer,Office,North,Retail,4,12500,0.05,47500.0
ORD0126,2026-02-05,CUST006,P006,Headset,Accessories,South,Partner,5,3500,0.1,15750.0
ORD0127,2026-02-06,CUST007,P001,Laptop,Electronics,East,Online,3,65000,0,195000
ORD0128,2026-02-07,CUST008,P002,Monitor,Electronics,West,Retail,6,18000,0.1,97200.0
ORD0129,2026-02-08,CUST009,P003,Keyboard,Accessories,North,Partner,7,2200,0,15400
ORD0130,2026-02-09,CUST010,P004,Mouse,Accessories,South,Online,3,900,0,2700
ORD0131,2026-02-10,CUST011,P005,Printer,Office,East,Retail,8,12500,0,100000
ORD0132,2026-02-11,CUST012,P006,Headset,Accessories,West,Partner,1,3500,0,3500
ORD0133,2026-02-12,CUST013,P001,Laptop,Electronics,North,Online,3,65000,0,195000
ORD0134,2026-02-13,CUST014,P002,Monitor,Electronics,South,Retail,8,18000,0,144000
ORD0135,2026-02-14,CUST015,P003,Keyboard,Accessories,East,Partner,1,2200,0.05,2090.0
ORD0136,2026-02-15,CUST016,P004,Mouse,Accessories,West,Online,8,900,0,7200
ORD0137,2026-02-16,CUST017,P005,Printer,Office,North,Retail,1,12500,0,12500
ORD0138,2026-02-17,CUST018,P006,Headset,Accessories,South,Partner,4,3500,0.05,13300.0
ORD0139,2026-02-18,CUST019,P001,Laptop,Electronics,East,Online,1,65000,0,65000
ORD0140,2026-02-19,CUST020,P002,Monitor,Electronics,West,Retail,8,18000,0,144000
ORD0141,2026-02-20,CUST001,P003,Keyboard,Accessories,North,Partner,2,2200,0.1,3960.0
ORD0142,2026-02-21,CUST002,P004,Mouse,Accessories,South,Online,6,900,0,5400
ORD0143,2026-02-22,CUST003,P005,Printer,Office,East,Retail,5,12500,0.1,56250.0
ORD0144,2026-02-23,CUST004,P006,Headset,Accessories,West,Partner,8,3500,0,28000
ORD0145,2026-02-24,CUST005,P001,Laptop,Electronics,North,Online,5,65000,0,325000
ORD0146,2026-02-25,CUST006,P002,Monitor,Electronics,South,Retail,8,18000,0,144000
ORD0147,2026-02-26,CUST007,P003,Keyboard,Accessories,East,Partner,7,2200,0,15400
ORD0148,2026-02-27,CUST008,P004,Mouse,Accessories,West,Online,7,900,0.1,5670.0
ORD0149,2026-02-28,CUST009,P005,Printer,Office,North,Retail,6,12500,0,75000
ORD0150,2026-03-01,CUST010,P006,Headset,Accessories,South,Partner,4,3500,0.1,12600.0
