OrderID,OrderDate,CustomerID,ProductID,Product,Category,Region,Channel,Quantity,UnitPrice,Discount,SalesAmount,TransactionNotes
ORD00025,2025-01-25,CUST025,P025,Printer,Electronics,North,Online,1,12500,0.0,12500.0,Transaction note 00025 - system ref 00025
ORD00026,2025-01-26,CUST026,P001,Laptop,Accessories,South,Retail,2,65000,0.02,127400.0,Transaction note 00026 - system ref 00026
ORD00027,2025-01-27,CUST027,P002,Monitor,Office Equipment,East,Partner,3,18000,0.04,51840.0,Transaction note 00027 - system ref 00027
ORD00028,2025-01-28,CUST028,P003,Keyboard,Electronics,West,Online,4,2200,0.06,8272.0,Transaction note 00028 - system ref 00028
ORD00029,2025-01-29,CUST029,P004,Mouse,Accessories,North,Retail,5,900,0.08,4140.0,Transaction note 00029 - system ref 00029
ORD00030,2025-01-30,CUST030,P005,Printer,Office Equipment,South,Partner,6,12500,0.1,67500.0,Transaction note 00030 - system ref 00030
ORD00031,2025-01-31,CUST031,P006,Laptop,Electronics,East,Online,7,65000,0.0,455000.0,Transaction note 00031 - system ref 00031
ORD00032,2025-02-01,CUST032,P007,Monitor,Accessories,West,Retail,8,18000,0.02,141120.0,Transaction note 00032 - system ref 00032
ORD00033,2025-02-02,CUST033,P008,Keyboard,Office Equipment,North,Partner,1,2200,0.04,2112.0,Transaction note 00033 - system ref 00033
ORD00034,2025-02-03,CUST034,P009,Mouse,Electronics,South,Online,2,900,0.06,1692.0,Transaction note 00034 - system ref 00034
ORD00035,2025-02-04,CUST035,P010,Printer,Accessories,East,Retail,3,12500,0.08,34500.0,Transaction note 00035 - system ref 00035
ORD00036,2025-02-05,CUST036,P011,Laptop,Office Equipment,West,Partner,4,65000,0.1,234000.0,Transaction note 00036 - system ref 00036
ORD00037,2025-02-06,CUST037,P012,Monitor,Electronics,North,Online,5,18000,0.0,90000.0,Transaction note 00037 - system ref 00037
ORD00038,2025-02-07,CUST038,P013,Keyboard,Accessories,South,Retail,6,2200,0.02,12936.0,Transaction note 00038 - system ref 00038
ORD00039,2025-02-08,CUST039,P014,Mouse,Office Equipment,East,Partner,7,900,0.04,6048.0,Transaction note 00039 - system ref 00039
ORD00040,2025-02-09,CUST040,P015,Printer,Electronics,West,Online,8,12500,0.06,94000.0,Transaction note 00040 - system ref 00040
ORD00041,2025-02-10,CUST041,P016,Laptop,Accessories,North,Retail,1,65000,0.08,59800.0,Transaction note 00041 - system ref 00041
ORD00042,2025-02-11,CUST042,P017,Monitor,Office Equipment,South,Partner,2,18000,0.1,32400.0,Transaction note 00042 - system ref 00042
ORD00043,2025-02-12,CUST043,P018,Keyboard,Electronics,East,Online,3,2200,0.0,6600.0,Transaction note 00043 - system ref 00043
ORD00044,2025-02-13,CUST044,P019,Mouse,Accessories,West,Retail,4,900,0.02,3528.0,Transaction note 00044 - system ref 00044
ORD00045,2025-02-14,CUST045,P020,Printer,Office Equipment,North,Partner,5,12500,0.04,60000.0,Transaction note 00045 - system ref 00045
ORD00046,2025-02-15,CUST046,P021,Laptop,Electronics,South,Online,6,65000,0.06,366600.0,Transaction note 00046 - system ref 00046
ORD00047,2025-02-16,CUST047,P022,Monitor,Accessories,East,Retail,7,18000,0.08,115920.0,Transaction note 00047 - system ref 00047
ORD00048,2025-02-17,CUST048,P023,Keyboard,Office Equipment,West,Partner,8,2200,0.1,15840.0,Transaction note 00048 - system ref 00048
ORD00049,2025-02-18,CUST049,P024,Mouse,Electronics,North,Online,1,900,0.0,900.0,Transaction note 00049 - system ref 00049
ORD00050,2025-02-19,CUST050,P025,Printer,Accessories,South,Retail,2,12500,0.02,24500.0,Transaction note 00050 - system ref 00050
ORD00051,2025-02-20,CUST051,P001,Laptop,Office Equipment,East,Partner,3,65000,0.04,187200.0,Transaction note 00051 - system ref 00051
ORD00052,2025-02-21,CUST052,P002,Monitor,Electronics,West,Online,4,18000,0.06,67680.0,Transaction note 00052 - system ref 00052
ORD00053,2025-02-22,CUST053,P003,Keyboard,Accessories,North,Retail,5,2200,0.08,10120.0,Transaction note 00053 - system ref 00053
ORD00054,2025-02-23,CUST054,P004,Mouse,Office Equipment,South,Partner,6,900,0.1,4860.0,Transaction note 00054 - system ref 00054
ORD00055,2025-02-24,CUST055,P005,Printer,Electronics,East,Online,7,12500,0.0,87500.0,Transaction note 00055 - system ref 00055
ORD00056,2025-02-25,CUST056,P006,Laptop,Accessories,West,Retail,8,65000,0.02,509600.0,Transaction note 00056 - system ref 00056
ORD00057,2025-02-26,CUST057,P007,Monitor,Office Equipment,North,Partner,1,18000,0.04,17280.0,Transaction note 00057 - system ref 00057
ORD00058,2025-02-27,CUST058,P008,Keyboard,Electronics,South,Online,2,2200,0.06,4136.0,Transaction note 00058 - system ref 00058
ORD00059,2025-02-28,CUST059,P009,Mouse,Accessories,East,Retail,3,900,0.08,2484.0,Transaction note 00059 - system ref 00059
ORD00060,2025-03-01,CUST060,P010,Printer,Office Equipment,West,Partner,4,12500,0.1,45000.0,Transaction note 00060 - system ref 00060
ORD00061,2025-03-02,CUST061,P011,Laptop,Electronics,North,Online,5,65000,0.0,325000.0,Transaction note 00061 - system ref 00061
ORD00062,2025-03-03,CUST062,P012,Monitor,Accessories,South,Retail,6,18000,0.02,105840.0,Transaction note 00062 - system ref 00062
ORD00063,2025-03-04,CUST063,P013,Keyboard,Office Equipment,East,Partner,7,2200,0.04,14784.0,Transaction note 00063 - system ref 00063
ORD00064,2025-03-05,CUST064,P014,Mouse,Electronics,West,Online,8,900,0.06,6768.0,Transaction note 00064 - system ref 00064
ORD00065,2025-03-06,CUST065,P015,Printer,Accessories,North,Retail,1,12500,0.08,11500.0,Transaction note 00065 - system ref 00065
ORD00066,2025-03-07,CUST066,P016,Laptop,Office Equipment,South,Partner,2,65000,0.1,117000.0,Transaction note 00066 - system ref 00066
ORD00067,2025-03-08,CUST067,P017,Monitor,Electronics,East,Online,3,18000,0.0,54000.0,Transaction note 00067 - system ref 00067
ORD00068,2025-03-09,CUST068,P018,Keyboard,Accessories,West,Retail,4,2200,0.02,8624.0,Transaction note 00068 - system ref 00068
ORD00069,2025-03-10,CUST069,P019,Mouse,Office Equipment,North,Partner,5,900,0.04,4320.0,Transaction note 00069 - system ref 00069
ORD00070,2025-03-11,CUST070,P020,Printer,Electronics,South,Online,6,12500,0.06,70500.0,Transaction note 00070 - system ref 00070
ORD00071,2025-03-12,CUST071,P021,Laptop,Accessories,East,Retail,7,65000,0.08,418600.0,Transaction note 00071 - system ref 00071
ORD00072,2025-03-13,CUST072,P022,Monitor,Office Equipment,West,Partner,8,18000,0.1,129600.0,Transaction note 00072 - system ref 00072
ORD00073,2025-03-14,CUST073,P023,Keyboard,Electronics,North,Online,1,2200,0.0,2200.0,Transaction note 00073 - system ref 00073
ORD00074,2025-03-15,CUST074,P024,Mouse,Accessories,South,Retail,2,900,0.02,1764.0,Transaction note 00074 - system ref 00074
ORD00075,2025-03-16,CUST075,P025,Printer,Office Equipment,East,Partner,3,12500,0.04,36000.0,Transaction note 00075 - system ref 00075
ORD00076,2025-03-17,CUST076,P001,Laptop,Electronics,West,Online,4,65000,0.06,244400.0,Transaction note 00076 - system ref 00076
ORD00077,2025-03-18,CUST077,P002,Monitor,Accessories,North,Retail,5,18000,0.08,82800.0,Transaction note 00077 - system ref 00077
ORD00078,2025-03-19,CUST078,P003,Keyboard,Office Equipment,South,Partner,6,2200,0.1,11880.0,Transaction note 00078 - system ref 00078
ORD00079,2025-03-20,CUST079,P004,Mouse,Electronics,East,Online,7,900,0.0,6300.0,Transaction note 00079 - system ref 00079
ORD00080,2025-03-21,CUST080,P005,Printer,Accessories,West,Retail,8,12500,0.02,98000.0,Transaction note 00080 - system ref 00080
ORD00081,2025-03-22,CUST081,P006,Laptop,Office Equipment,North,Partner,1,65000,0.04,62400.0,Transaction note 00081 - system ref 00081
ORD00082,2025-03-23,CUST082,P007,Monitor,Electronics,South,Online,2,18000,0.06,33840.0,Transaction note 00082 - system ref 00082
ORD00083,2025-03-24,CUST083,P008,Keyboard,Accessories,East,Retail,3,2200,0.08,6072.0,Transaction note 00083 - system ref 00083
ORD00084,2025-03-25,CUST084,P009,Mouse,Office Equipment,West,Partner,4,900,0.1,3240.0,Transaction note 00084 - system ref 00084
ORD00085,2025-03-26,CUST085,P010,Printer,Electronics,North,Online,5,12500,0.0,62500.0,Transaction note 00085 - system ref 00085
ORD00086,2025-03-27,CUST086,P011,Laptop,Accessories,South,Retail,6,65000,0.02,382200.0,Transaction note 00086 - system ref 00086
ORD00087,2025-03-28,CUST087,P012,Monitor,Office Equipment,East,Partner,7,18000,0.04,120960.0,Transaction note 00087 - system ref 00087
ORD00088,2025-03-29,CUST088,P013,Keyboard,Electronics,West,Online,8,2200,0.06,16544.0,Transaction note 00088 - system ref 00088
ORD00089,2025-03-30,CUST089,P014,Mouse,Accessories,North,Retail,1,900,0.08,828.0,Transaction note 00089 - system ref 00089
ORD00090,2025-03-31,CUST090,P015,Printer,Office Equipment,South,Partner,2,12500,0.1,22500.0,Transaction note 00090 - system ref 00090
ORD00091,2025-04-01,CUST091,P016,Laptop,Electronics,East,Online,3,65000,0.0,195000.0,Transaction note 00091 - system ref 00091
ORD00092,2025-04-02,CUST092,P017,Monitor,Accessories,West,Retail,4,18000,0.02,70560.0,Transaction note 00092 - system ref 00092
ORD00093,2025-04-03,CUST093,P018,Keyboard,Office Equipment,North,Partner,5,2200,0.04,10560.0,Transaction note 00093 - system ref 00093
ORD00094,2025-04-04,CUST094,P019,Mouse,Electronics,South,Online,6,900,0.06,5076.0,Transaction note 00094 - system ref 00094
ORD00095,2025-04-05,CUST095,P020,Printer,Accessories,East,Retail,7,12500,0.08,80500.0,Transaction note 00095 - system ref 00095
ORD00096,2025-04-06,CUST096,P021,Laptop,Office Equipment,West,Partner,8,65000,0.1,468000.0,Transaction note 00096 - system ref 00096
ORD00097,2025-04-07,CUST097,P022,Monitor,Electronics,North,Online,1,18000,0.0,18000.0,Transaction note 00097 - system ref 00097
ORD00098,2025-04-08,CUST098,P023,Keyboard,Accessories,South,Retail,2,2200,0.02,4312.0,Transaction note 00098 - system ref 00098
ORD00099,2025-04-09,CUST099,P024,Mouse,Office Equipment,East,Partner,3,900,0.04,2592.0,Transaction note 00099 - system ref 00099
ORD00100,2025-04-10,CUST100,P025,Printer,Electronics,West,Online,4,12500,0.06,47000.0,Transaction note 00100 - system ref 00100
ORD00101,2025-04-11,CUST101,P001,Laptop,Accessories,North,Retail,5,65000,0.08,299000.0,Transaction note 00101 - system ref 00101
ORD00102,2025-04-12,CUST102,P002,Monitor,Office Equipment,South,Partner,6,18000,0.1,97200.0,Transaction note 00102 - system ref 00102
ORD00103,2025-04-13,CUST103,P003,Keyboard,Electronics,East,Online,7,2200,0.0,15400.0,Transaction note 00103 - system ref 00103
ORD00104,2025-04-14,CUST104,P004,Mouse,Accessories,West,Retail,8,900,0.02,7056.0,Transaction note 00104 - system ref 00104
ORD00105,2025-04-15,CUST105,P005,Printer,Office Equipment,North,Partner,1,12500,0.04,12000.0,Transaction note 00105 - system ref 00105
ORD00106,2025-04-16,CUST106,P006,Laptop,Electronics,South,Online,2,65000,0.06,122200.0,Transaction note 00106 - system ref 00106
ORD00107,2025-04-17,CUST107,P007,Monitor,Accessories,East,Retail,3,18000,0.08,49680.0,Transaction note 00107 - system ref 00107
ORD00108,2025-04-18,CUST108,P008,Keyboard,Office Equipment,West,Partner,4,2200,0.1,7920.0,Transaction note 00108 - system ref 00108
ORD00109,2025-04-19,CUST109,P009,Mouse,Electronics,North,Online,5,900,0.0,4500.0,Transaction note 00109 - system ref 00109
ORD00110,2025-04-20,CUST110,P010,Printer,Accessories,South,Retail,6,12500,0.02,73500.0,Transaction note 00110 - system ref 00110
ORD00111,2025-04-21,CUST111,P011,Laptop,Office Equipment,East,Partner,7,65000,0.04,436800.0,Transaction note 00111 - system ref 00111
ORD00112,2025-04-22,CUST112,P012,Monitor,Electronics,West,Online,8,18000,0.06,135360.0,Transaction note 00112 - system ref 00112
ORD00113,2025-04-23,CUST113,P013,Keyboard,Accessories,North,Retail,1,2200,0.08,2024.0,Transaction note 00113 - system ref 00113
ORD00114,2025-04-24,CUST114,P014,Mouse,Office Equipment,South,Partner,2,900,0.1,1620.0,Transaction note 00114 - system ref 00114
ORD00115,2025-04-25,CUST115,P015,Printer,Electronics,East,Online,3,12500,0.0,37500.0,Transaction note 00115 - system ref 00115
ORD00116,2025-04-26,CUST116,P016,Laptop,Accessories,West,Retail,4,65000,0.02,254800.0,Transaction note 00116 - system ref 00116
ORD00117,2025-04-27,CUST117,P017,Monitor,Office Equipment,North,Partner,5,18000,0.04,86400.0,Transaction note 00117 - system ref 00117
ORD00118,2025-04-28,CUST118,P018,Keyboard,Electronics,South,Online,6,2200,0.06,12408.0,Transaction note 00118 - system ref 00118
ORD00119,2025-04-29,CUST119,P019,Mouse,Accessories,East,Retail,7,900,0.08,5796.0,Transaction note 00119 - system ref 00119
ORD00120,2025-04-30,CUST120,P020,Printer,Office Equipment,West,Partner,8,12500,0.1,90000.0,Transaction note 00120 - system ref 00120
ORD00121,2025-05-01,CUST001,P021,Laptop,Electronics,North,Online,1,65000,0.0,65000.0,Transaction note 00121 - system ref 00121
ORD00122,2025-05-02,CUST002,P022,Monitor,Accessories,South,Retail,2,18000,0.02,35280.0,Transaction note 00122 - system ref 00122
ORD00123,2025-05-03,CUST003,P023,Keyboard,Office Equipment,East,Partner,3,2200,0.04,6336.0,Transaction note 00123 - system ref 00123
ORD00124,2025-05-04,CUST004,P024,Mouse,Electronics,West,Online,4,900,0.06,3384.0,Transaction note 00124 - system ref 00124
ORD00125,2025-05-05,CUST005,P025,Printer,Accessories,North,Retail,5,12500,0.08,57500.0,Transaction note 00125 - system ref 00125
ORD00126,2025-05-06,CUST006,P001,Laptop,Office Equipment,South,Partner,6,65000,0.1,351000.0,Transaction note 00126 - system ref 00126
ORD00127,2025-05-07,CUST007,P002,Monitor,Electronics,East,Online,7,18000,0.0,126000.0,Transaction note 00127 - system ref 00127
ORD00128,2025-05-08,CUST008,P003,Keyboard,Accessories,West,Retail,8,2200,0.02,17248.0,Transaction note 00128 - system ref 00128
ORD00129,2025-05-09,CUST009,P004,Mouse,Office Equipment,North,Partner,1,900,0.04,864.0,Transaction note 00129 - system ref 00129
ORD00130,2025-05-10,CUST010,P005,Printer,Electronics,South,Online,2,12500,0.06,23500.0,Transaction note 00130 - system ref 00130
ORD00131,2025-05-11,CUST011,P006,Laptop,Accessories,East,Retail,3,65000,0.08,179400.0,Transaction note 00131 - system ref 00131
ORD00132,2025-05-12,CUST012,P007,Monitor,Office Equipment,West,Partner,4,18000,0.1,64800.0,Transaction note 00132 - system ref 00132
ORD00133,2025-05-13,CUST013,P008,Keyboard,Electronics,North,Online,5,2200,0.0,11000.0,Transaction note 00133 - system ref 00133
ORD00134,2025-05-14,CUST014,P009,Mouse,Accessories,South,Retail,6,900,0.02,5292.0,Transaction note 00134 - system ref 00134
ORD00135,2025-05-15,CUST015,P010,Printer,Office Equipment,East,Partner,7,12500,0.04,84000.0,Transaction note 00135 - system ref 00135
ORD00136,2025-05-16,CUST016,P011,Laptop,Electronics,West,Online,8,65000,0.06,488800.0,Transaction note 00136 - system ref 00136
ORD00137,2025-05-17,CUST017,P012,Monitor,Accessories,North,Retail,1,18000,0.08,16560.0,Transaction note 00137 - system ref 00137
ORD00138,2025-05-18,CUST018,P013,Keyboard,Office Equipment,South,Partner,2,2200,0.1,3960.0,Transaction note 00138 - system ref 00138
ORD00139,2025-05-19,CUST019,P014,Mouse,Electronics,East,Online,3,900,0.0,2700.0,Transaction note 00139 - system ref 00139
ORD00140,2025-05-20,CUST020,P015,Printer,Accessories,West,Retail,4,12500,0.02,49000.0,Transaction note 00140 - system ref 00140
ORD00141,2025-05-21,CUST021,P016,Laptop,Office Equipment,North,Partner,5,65000,0.04,312000.0,Transaction note 00141 - system ref 00141
ORD00142,2025-05-22,CUST022,P017,Monitor,Electronics,South,Online,6,18000,0.06,101520.0,Transaction note 00142 - system ref 00142
ORD00143,2025-05-23,CUST023,P018,Keyboard,Accessories,East,Retail,7,2200,0.08,14168.0,Transaction note 00143 - system ref 00143
ORD00144,2025-05-24,CUST024,P019,Mouse,Office Equipment,West,Partner,8,900,0.1,6480.0,Transaction note 00144 - system ref 00144
ORD00145,2025-05-25,CUST025,P020,Printer,Electronics,North,Online,1,12500,0.0,12500.0,Transaction note 00145 - system ref 00145
ORD00146,2025-05-26,CUST026,P021,Laptop,Accessories,South,Retail,2,65000,0.02,127400.0,Transaction note 00146 - system ref 00146
ORD00147,2025-05-27,CUST027,P022,Monitor,Office Equipment,East,Partner,3,18000,0.04,51840.0,Transaction note 00147 - system ref 00147
ORD00148,2025-05-28,CUST028,P023,Keyboard,Electronics,West,Online,4,2200,0.06,8272.0,Transaction note 00148 - system ref 00148
ORD00149,2025-05-29,CUST029,P024,Mouse,Accessories,North,Retail,5,900,0.08,4140.0,Transaction note 00149 - system ref 00149
ORD00150,2025-05-30,CUST030,P025,Printer,Office Equipment,South,Partner,6,12500,0.1,67500.0,Transaction note 00150 - system ref 00150
ORD00151,2025-05-31,CUST031,P001,Laptop,Electronics,East,Online,7,65000,0.0,455000.0,Transaction note 00151 - system ref 00151
ORD00152,2025-06-01,CUST032,P002,Monitor,Accessories,West,Retail,8,18000,0.02,141120.0,Transaction note 00152 - system ref 00152
ORD00153,2025-06-02,CUST033,P003,Keyboard,Office Equipment,North,Partner,1,2200,0.04,2112.0,Transaction note 00153 - system ref 00153
ORD00154,2025-06-03,CUST034,P004,Mouse,Electronics,South,Online,2,900,0.06,1692.0,Transaction note 00154 - system ref 00154
ORD00155,2025-06-04,CUST035,P005,Printer,Accessories,East,Retail,3,12500,0.08,34500.0,Transaction note 00155 - system ref 00155
ORD00156,2025-06-05,CUST036,P006,Laptop,Office Equipment,West,Partner,4,65000,0.1,234000.0,Transaction note 00156 - system ref 00156
ORD00157,2025-06-06,CUST037,P007,Monitor,Electronics,North,Online,5,18000,0.0,90000.0,Transaction note 00157 - system ref 00157
ORD00158,2025-06-07,CUST038,P008,Keyboard,Accessories,South,Retail,6,2200,0.02,12936.0,Transaction note 00158 - system ref 00158
ORD00159,2025-06-08,CUST039,P009,Mouse,Office Equipment,East,Partner,7,900,0.04,6048.0,Transaction note 00159 - system ref 00159
ORD00160,2025-06-09,CUST040,P010,Printer,Electronics,West,Online,8,12500,0.06,94000.0,Transaction note 00160 - system ref 00160
ORD00161,2025-06-10,CUST041,P011,Laptop,Accessories,North,Retail,1,65000,0.08,59800.0,Transaction note 00161 - system ref 00161
ORD00162,2025-06-11,CUST042,P012,Monitor,Office Equipment,South,Partner,2,18000,0.1,32400.0,Transaction note 00162 - system ref 00162
ORD00163,2025-06-12,CUST043,P013,Keyboard,Electronics,East,Online,3,2200,0.0,6600.0,Transaction note 00163 - system ref 00163
ORD00164,2025-06-13,CUST044,P014,Mouse,Accessories,West,Retail,4,900,0.02,3528.0,Transaction note 00164 - system ref 00164
ORD00165,2025-06-14,CUST045,P015,Printer,Office Equipment,North,Partner,5,12500,0.04,60000.0,Transaction note 00165 - system ref 00165
ORD00166,2025-06-15,CUST046,P016,Laptop,Electronics,South,Online,6,65000,0.06,366600.0,Transaction note 00166 - system ref 00166
ORD00167,2025-06-16,CUST047,P017,Monitor,Accessories,East,Retail,7,18000,0.08,115920.0,Transaction note 00167 - system ref 00167
ORD00168,2025-06-17,CUST048,P018,Keyboard,Office Equipment,West,Partner,8,2200,0.1,15840.0,Transaction note 00168 - system ref 00168
ORD00169,2025-06-18,CUST049,P019,Mouse,Electronics,North,Online,1,900,0.0,900.0,Transaction note 00169 - system ref 00169
ORD00170,2025-06-19,CUST050,P020,Printer,Accessories,South,Retail,2,12500,0.02,24500.0,Transaction note 00170 - system ref 00170
ORD00171,2025-06-20,CUST051,P021,Laptop,Office Equipment,East,Partner,3,65000,0.04,187200.0,Transaction note 00171 - system ref 00171
ORD00172,2025-06-21,CUST052,P022,Monitor,Electronics,West,Online,4,18000,0.06,67680.0,Transaction note 00172 - system ref 00172
ORD00173,2025-06-22,CUST053,P023,Keyboard,Accessories,North,Retail,5,2200,0.08,10120.0,Transaction note 00173 - system ref 00173
ORD00174,2025-06-23,CUST054,P024,Mouse,Office Equipment,South,Partner,6,900,0.1,4860.0,Transaction note 00174 - system ref 00174
ORD00175,2025-06-24,CUST055,P025,Printer,Electronics,East,Online,7,12500,0.0,87500.0,Transaction note 00175 - system ref 00175
ORD00176,2025-06-25,CUST056,P001,Laptop,Accessories,West,Retail,8,65000,0.02,509600.0,Transaction note 00176 - system ref 00176
ORD00177,2025-06-26,CUST057,P002,Monitor,Office Equipment,North,Partner,1,18000,0.04,17280.0,Transaction note 00177 - system ref 00177
ORD00178,2025-06-27,CUST058,P003,Keyboard,Electronics,South,Online,2,2200,0.06,4136.0,Transaction note 00178 - system ref 00178
ORD00179,2025-06-28,CUST059,P004,Mouse,Accessories,East,Retail,3,900,0.08,2484.0,Transaction note 00179 - system ref 00179
ORD00180,2025-06-29,CUST060,P005,Printer,Office Equipment,West,Partner,4,12500,0.1,45000.0,Transaction note 00180 - system ref 00180
ORD00181,2025-06-30,CUST061,P006,Laptop,Electronics,North,Online,5,65000,0.0,325000.0,Transaction note 00181 - system ref 00181
ORD00182,2025-07-01,CUST062,P007,Monitor,Accessories,South,Retail,6,18000,0.02,105840.0,Transaction note 00182 - system ref 00182
ORD00183,2025-07-02,CUST063,P008,Keyboard,Office Equipment,East,Partner,7,2200,0.04,14784.0,Transaction note 00183 - system ref 00183
ORD00184,2025-07-03,CUST064,P009,Mouse,Electronics,West,Online,8,900,0.06,6768.0,Transaction note 00184 - system ref 00184
ORD00185,2025-07-04,CUST065,P010,Printer,Accessories,North,Retail,1,12500,0.08,11500.0,Transaction note 00185 - system ref 00185
ORD00186,2025-07-05,CUST066,P011,Laptop,Office Equipment,South,Partner,2,65000,0.1,117000.0,Transaction note 00186 - system ref 00186
ORD00187,2025-07-06,CUST067,P012,Monitor,Electronics,East,Online,3,18000,0.0,54000.0,Transaction note 00187 - system ref 00187
ORD00188,2025-07-07,CUST068,P013,Keyboard,Accessories,West,Retail,4,2200,0.02,8624.0,Transaction note 00188 - system ref 00188
ORD00189,2025-07-08,CUST069,P014,Mouse,Office Equipment,North,Partner,5,900,0.04,4320.0,Transaction note 00189 - system ref 00189
ORD00190,2025-07-09,CUST070,P015,Printer,Electronics,South,Online,6,12500,0.06,70500.0,Transaction note 00190 - system ref 00190
ORD00191,2025-07-10,CUST071,P016,Laptop,Accessories,East,Retail,7,65000,0.08,418600.0,Transaction note 00191 - system ref 00191
ORD00192,2025-07-11,CUST072,P017,Monitor,Office Equipment,West,Partner,8,18000,0.1,129600.0,Transaction note 00192 - system ref 00192
ORD00193,2025-07-12,CUST073,P018,Keyboard,Electronics,North,Online,1,2200,0.0,2200.0,Transaction note 00193 - system ref 00193
ORD00194,2025-07-13,CUST074,P019,Mouse,Accessories,South,Retail,2,900,0.02,1764.0,Transaction note 00194 - system ref 00194
ORD00195,2025-07-14,CUST075,P020,Printer,Office Equipment,East,Partner,3,12500,0.04,36000.0,Transaction note 00195 - system ref 00195
ORD00196,2025-07-15,CUST076,P021,Laptop,Electronics,West,Online,4,65000,0.06,244400.0,Transaction note 00196 - system ref 00196
ORD00197,2025-07-16,CUST077,P022,Monitor,Accessories,North,Retail,5,18000,0.08,82800.0,Transaction note 00197 - system ref 00197
ORD00198,2025-07-17,CUST078,P023,Keyboard,Office Equipment,South,Partner,6,2200,0.1,11880.0,Transaction note 00198 - system ref 00198
ORD00199,2025-07-18,CUST079,P024,Mouse,Electronics,East,Online,7,900,0.0,6300.0,Transaction note 00199 - system ref 00199
ORD00200,2025-07-19,CUST080,P025,Printer,Accessories,West,Retail,8,12500,0.02,98000.0,Transaction note 00200 - system ref 00200
ORD00201,2025-07-20,CUST081,P001,Laptop,Office Equipment,North,Partner,1,65000,0.04,62400.0,Transaction note 00201 - system ref 00201
ORD00202,2025-07-21,CUST082,P002,Monitor,Electronics,South,Online,2,18000,0.06,33840.0,Transaction note 00202 - system ref 00202
ORD00203,2025-07-22,CUST083,P003,Keyboard,Accessories,East,Retail,3,2200,0.08,6072.0,Transaction note 00203 - system ref 00203
