ReadingID,Date,DeviceID,SiteID,Temperature,Humidity,EnergyKWh,AlertCount
R00081,2026-02-10,DEV001,S03,76.8,83.2,14.86,1
R00082,2026-02-10,DEV002,S04,24.4,50.6,6.05,0
R00083,2026-02-11,DEV003,S05,49.0,42.3,9.19,0
R00084,2026-02-11,DEV004,S06,29.1,50.1,14.27,0
R00085,2026-02-12,DEV005,S01,71.5,58.1,3.41,0
R00086,2026-02-12,DEV006,S02,85.2,70.2,4.68,1
R00087,2026-02-13,DEV007,S03,45.5,67.1,10.86,0
R00088,2026-02-13,DEV008,S04,40.7,82.6,6.19,1
R00089,2026-02-14,DEV001,S05,40.3,77.3,3.99,0
R00090,2026-02-14,DEV002,S06,67.6,45.0,9.77,0
R00091,2026-02-15,DEV003,S01,41.8,53.9,14.23,0
R00092,2026-02-15,DEV004,S02,53.9,56.8,10.02,0
R00093,2026-02-16,DEV005,S03,42.0,43.7,7.0,0
R00094,2026-02-16,DEV006,S04,41.4,44.4,14.49,0
R00095,2026-02-17,DEV007,S05,26.2,75.5,14.15,0
R00096,2026-02-17,DEV008,S06,69.1,35.9,8.52,0
R00097,2026-02-18,DEV001,S01,26.5,65.4,11.11,0
R00098,2026-02-18,DEV002,S02,39.4,35.4,9.08,0
R00099,2026-02-19,DEV003,S03,30.0,50.4,7.9,0
R00100,2026-02-19,DEV004,S04,81.2,53.5,3.75,1
R00101,2026-02-20,DEV005,S05,74.7,76.1,8.88,0
R00102,2026-02-20,DEV006,S06,27.1,44.4,7.24,0
R00103,2026-02-21,DEV007,S01,59.3,46.3,12.43,0
R00104,2026-02-21,DEV008,S02,78.0,81.3,13.49,1
R00105,2026-02-22,DEV001,S03,25.1,64.1,3.05,0
R00106,2026-02-22,DEV002,S04,81.6,72.3,11.87,1
R00107,2026-02-23,DEV003,S05,36.1,38.0,12.6,0
R00108,2026-02-23,DEV004,S06,62.8,66.0,8.12,0
R00109,2026-02-24,DEV005,S01,75.2,51.9,5.51,0
R00110,2026-02-24,DEV006,S02,46.6,49.9,10.15,0
R00111,2026-02-25,DEV007,S03,81.0,38.6,2.88,1
R00112,2026-02-25,DEV008,S04,56.8,68.9,4.47,0
R00113,2026-02-26,DEV001,S05,41.3,37.9,2.48,0
R00114,2026-02-26,DEV002,S06,55.7,69.0,10.49,0
R00115,2026-02-27,DEV003,S01,34.1,40.2,14.1,0
R00116,2026-02-27,DEV004,S02,58.5,55.4,10.98,0
R00117,2026-02-28,DEV005,S03,70.6,61.2,3.02,0
R00118,2026-02-28,DEV006,S04,76.9,45.7,2.53,0
R00119,2026-03-01,DEV007,S05,46.5,61.6,10.17,0
R00120,2026-03-01,DEV008,S06,35.1,70.5,8.42,0
R00121,2026-03-02,DEV001,S01,34.4,77.5,12.49,0
R00122,2026-03-02,DEV002,S02,82.0,69.0,4.83,1
R00123,2026-03-03,DEV003,S03,73.8,80.1,8.93,1
R00124,2026-03-03,DEV004,S04,82.1,83.5,7.07,2
R00125,2026-03-04,DEV005,S05,84.3,81.8,12.32,2
R00126,2026-03-04,DEV006,S06,24.7,52.6,9.98,0
R00127,2026-03-05,DEV007,S01,62.9,72.8,10.41,0
R00128,2026-03-05,DEV008,S02,34.3,81.5,8.97,1
R00129,2026-03-06,DEV001,S03,80.4,45.3,14.97,1
R00130,2026-03-06,DEV002,S04,59.5,73.8,11.62,0
R00131,2026-03-07,DEV003,S05,80.5,53.1,3.08,1
R00132,2026-03-07,DEV004,S06,50.0,43.9,9.02,0
R00133,2026-03-08,DEV005,S01,76.2,53.1,3.7,0
R00134,2026-03-08,DEV006,S02,25.7,56.1,9.55,0
R00135,2026-03-09,DEV007,S03,25.7,68.3,4.74,0
R00136,2026-03-09,DEV008,S04,30.9,81.4,8.8,1
R00137,2026-03-10,DEV001,S05,81.3,60.7,3.6,1
R00138,2026-03-10,DEV002,S06,39.4,56.2,10.33,0
R00139,2026-03-11,DEV003,S01,73.3,72.6,10.46,0
R00140,2026-03-11,DEV004,S02,40.2,56.5,6.91,0
R00141,2026-03-12,DEV005,S03,55.3,48.3,8.99,0
R00142,2026-03-12,DEV006,S04,53.4,36.8,12.7,0
R00143,2026-03-13,DEV007,S05,61.5,75.1,11.58,0
R00144,2026-03-13,DEV008,S06,70.8,84.7,6.9,1
R00145,2026-03-14,DEV001,S01,49.2,35.2,10.64,0
R00146,2026-03-14,DEV002,S02,61.2,63.8,14.97,0
R00147,2026-03-15,DEV003,S03,36.6,46.4,11.54,0
R00148,2026-03-15,DEV004,S04,76.0,59.1,2.71,0
R00149,2026-03-16,DEV005,S05,47.7,76.3,8.5,0
R00150,2026-03-16,DEV006,S06,53.5,54.5,10.17,0
R00151,2026-03-17,DEV007,S01,62.3,69.7,13.25,0
R00152,2026-03-17,DEV008,S02,72.1,53.7,5.26,0
R00153,2026-03-18,DEV001,S03,74.0,74.6,14.07,0
R00154,2026-03-18,DEV002,S04,36.7,77.4,13.58,0
R00155,2026-03-19,DEV003,S05,28.9,50.4,10.24,0
R00156,2026-03-19,DEV004,S06,33.4,76.6,5.44,0
R00157,2026-03-20,DEV005,S01,67.7,49.8,4.84,0
R00158,2026-03-20,DEV006,S02,37.2,59.9,11.27,0
R00159,2026-03-21,DEV007,S03,37.9,69.3,6.36,0
R00160,2026-03-21,DEV008,S04,65.6,53.4,4.51,0
R00161,2026-03-22,DEV001,S05,33.0,37.9,11.05,0
R00162,2026-03-22,DEV002,S06,50.5,41.2,13.45,0
R00163,2026-03-23,DEV003,S01,65.9,36.1,11.42,0
R00164,2026-03-23,DEV004,S02,62.1,57.2,8.51,0
R00165,2026-03-24,DEV005,S03,85.6,53.7,10.27,1
R00166,2026-03-24,DEV006,S04,64.7,53.3,6.5,0
R00167,2026-03-25,DEV007,S05,72.3,66.8,7.94,0
R00168,2026-03-25,DEV008,S06,56.9,46.2,12.26,0
R00169,2026-03-26,DEV001,S01,25.3,67.2,7.91,0
R00170,2026-03-26,DEV002,S02,38.2,64.3,9.58,0
R00171,2026-03-27,DEV003,S03,29.6,59.5,4.15,0
R00172,2026-03-27,DEV004,S04,75.1,51.3,6.27,0
R00173,2026-03-28,DEV005,S05,37.8,37.4,4.43,0
R00174,2026-03-28,DEV006,S06,33.7,66.2,13.02,0
R00175,2026-03-29,DEV007,S01,38.1,40.6,8.95,0
R00176,2026-03-29,DEV008,S02,31.4,55.3,11.89,0
R00177,2026-03-30,DEV001,S03,37.0,70.0,9.0,0
R00178,2026-03-30,DEV002,S04,29.4,47.1,9.79,0
R00179,2026-03-31,DEV003,S05,30.2,45.2,9.5,0
R00180,2026-03-31,DEV004,S06,76.4,61.0,10.63,0
R00181,2026-04-01,DEV005,S01,24.6,50.1,6.14,0
R00182,2026-04-01,DEV006,S02,82.5,52.9,12.2,1
R00183,2026-04-02,DEV007,S03,26.2,59.9,13.59,0
R00184,2026-04-02,DEV008,S04,73.4,64.0,4.37,0
R00185,2026-04-03,DEV001,S05,83.3,39.0,14.54,1
R00186,2026-04-03,DEV002,S06,73.7,71.0,8.9,0
R00187,2026-04-04,DEV003,S01,34.5,52.0,10.63,0
R00188,2026-04-04,DEV004,S02,66.0,54.5,12.42,0
R00189,2026-04-05,DEV005,S03,27.4,49.4,3.18,0
R00190,2026-04-05,DEV006,S04,44.8,74.6,11.79,0
R00191,2026-04-06,DEV007,S05,33.6,50.4,3.46,0
R00192,2026-04-06,DEV008,S06,66.4,57.1,5.01,0
R00193,2026-04-07,DEV001,S01,47.9,78.3,7.53,1
R00194,2026-04-07,DEV002,S02,68.2,66.4,8.16,0
R00195,2026-04-08,DEV003,S03,59.6,53.2,4.58,0
R00196,2026-04-08,DEV004,S04,55.6,50.2,6.29,0
R00197,2026-04-09,DEV005,S05,35.9,80.7,7.53,1
R00198,2026-04-09,DEV006,S06,36.8,36.6,4.79,0
R00199,2026-04-10,DEV007,S01,79.6,51.8,10.67,0
R00200,2026-04-10,DEV008,S02,38.8,67.5,7.85,0
R00201,2026-04-11,DEV001,S03,71.1,61.4,6.88,0
R00202,2026-04-11,DEV002,S04,41.9,64.7,12.81,0
R00203,2026-04-12,DEV003,S05,68.3,59.0,6.27,0
R00204,2026-04-12,DEV004,S06,81.1,77.3,3.9,1
R00205,2026-04-13,DEV005,S01,67.5,73.6,10.79,0
R00206,2026-04-13,DEV006,S02,85.7,79.0,5.2,2
R00207,2026-04-14,DEV007,S03,87.8,51.4,6.94,1
R00208,2026-04-14,DEV008,S04,86.5,43.4,7.14,1
R00209,2026-04-15,DEV001,S05,64.1,48.6,5.47,0
R00210,2026-04-15,DEV002,S06,74.8,65.6,11.67,0
R00211,2026-04-16,DEV003,S01,74.6,78.6,13.62,1
R00212,2026-04-16,DEV004,S02,76.7,83.9,8.49,1
R00213,2026-04-17,DEV005,S03,68.9,60.7,14.6,0
R00214,2026-04-17,DEV006,S04,65.9,56.5,10.63,0
R00215,2026-04-18,DEV007,S05,42.9,41.5,7.02,0
R00216,2026-04-18,DEV008,S06,32.8,35.2,3.2,0
R00217,2026-04-19,DEV001,S01,53.1,73.2,2.63,0
R00218,2026-04-19,DEV002,S02,64.7,40.6,8.63,0
R00219,2026-04-20,DEV003,S03,42.9,57.3,11.26,0
R00220,2026-04-20,DEV004,S04,50.5,54.6,11.47,0
R00221,2026-04-21,DEV005,S05,31.4,52.4,11.12,0
R00222,2026-04-21,DEV006,S06,77.4,84.0,5.34,1
R00223,2026-04-22,DEV007,S01,64.0,50.6,11.12,0
R00224,2026-04-22,DEV008,S02,78.2,41.8,6.49,0
R00225,2026-04-23,DEV001,S03,83.9,52.6,10.22,1
R00226,2026-04-23,DEV002,S04,76.4,48.9,12.18,0
R00227,2026-04-24,DEV003,S05,24.2,52.0,4.17,0
R00228,2026-04-24,DEV004,S06,46.1,45.7,2.33,0
R00229,2026-04-25,DEV005,S01,75.4,43.7,9.45,0
R00230,2026-04-25,DEV006,S02,59.5,77.5,13.01,0
R00231,2026-04-26,DEV007,S03,63.8,43.4,11.89,0
R00232,2026-04-26,DEV008,S04,30.2,81.4,6.01,1
R00233,2026-04-27,DEV001,S05,40.2,45.8,7.15,0
R00234,2026-04-27,DEV002,S06,74.7,77.7,11.7,0
R00235,2026-04-28,DEV003,S01,70.7,47.2,6.18,0
R00236,2026-04-28,DEV004,S02,43.5,56.7,13.37,0
R00237,2026-04-29,DEV005,S03,87.7,39.2,14.54,1
R00238,2026-04-29,DEV006,S04,82.8,58.0,11.01,1
R00239,2026-04-30,DEV007,S05,74.2,44.3,10.01,0
R00240,2026-04-30,DEV008,S06,86.8,79.0,13.85,2
R00241,2026-05-01,DEV001,S01,29.4,70.7,8.32,0
R00242,2026-05-01,DEV002,S02,82.2,43.3,9.13,1
R00243,2026-05-02,DEV003,S03,31.7,75.2,11.39,0
R00244,2026-05-02,DEV004,S04,26.0,50.5,3.84,0
R00245,2026-05-03,DEV005,S05,64.7,66.5,2.81,0
R00246,2026-05-03,DEV006,S06,84.9,83.3,7.73,2
R00247,2026-05-04,DEV007,S01,60.7,53.2,9.88,0
R00248,2026-05-04,DEV008,S02,49.5,57.0,11.75,0
R00249,2026-05-05,DEV001,S03,35.9,49.9,11.93,0
R00250,2026-05-05,DEV002,S04,38.4,38.4,13.85,0
R00251,2026-05-06,DEV003,S05,34.2,55.6,6.08,0
R00252,2026-05-06,DEV004,S06,40.7,52.6,8.99,0
R00253,2026-05-07,DEV005,S01,31.4,61.7,2.66,0
R00254,2026-05-07,DEV006,S02,29.0,45.1,5.12,0
R00255,2026-05-08,DEV007,S03,45.9,49.6,12.88,0
R00256,2026-05-08,DEV008,S04,66.1,58.7,12.03,0
R00257,2026-05-09,DEV001,S05,67.9,50.8,10.01,0
R00258,2026-05-09,DEV002,S06,71.7,61.7,11.78,0
R00259,2026-05-10,DEV003,S01,64.5,81.4,5.43,1
R00260,2026-05-10,DEV004,S02,67.0,83.8,8.87,1
R00261,2026-05-11,DEV005,S03,81.9,39.7,11.41,1
R00262,2026-05-11,DEV006,S04,41.0,72.5,7.51,0
R00263,2026-05-12,DEV007,S05,58.2,47.4,5.34,0
R00264,2026-05-12,DEV008,S06,79.4,67.2,10.17,0
R00265,2026-05-13,DEV001,S01,31.4,49.7,14.59,0
R00266,2026-05-13,DEV002,S02,37.0,61.9,11.06,0
R00267,2026-05-14,DEV003,S03,56.7,62.7,14.61,0
R00268,2026-05-14,DEV004,S04,74.0,46.9,7.59,0
R00269,2026-05-15,DEV005,S05,50.9,69.2,10.77,0
R00270,2026-05-15,DEV006,S06,40.7,69.6,7.61,0
R00271,2026-05-16,DEV007,S01,25.0,49.6,6.9,0
R00272,2026-05-16,DEV008,S02,36.6,68.5,14.9,0
R00273,2026-05-17,DEV001,S03,83.6,66.5,13.14,1
R00274,2026-05-17,DEV002,S04,55.5,64.3,13.62,0
R00275,2026-05-18,DEV003,S05,27.8,53.1,6.86,0
R00276,2026-05-18,DEV004,S06,45.8,56.4,2.74,0
R00277,2026-05-19,DEV005,S01,67.5,82.8,5.04,1
R00278,2026-05-19,DEV006,S02,35.9,51.7,12.35,0
R00279,2026-05-20,DEV007,S03,38.5,73.5,4.25,0
R00280,2026-05-20,DEV008,S04,62.1,71.1,10.76,0
R00281,2026-05-21,DEV001,S05,29.4,82.8,13.02,1
R00282,2026-05-21,DEV002,S06,54.8,78.0,9.81,1
R00283,2026-05-22,DEV003,S01,34.8,54.8,12.67,0
R00284,2026-05-22,DEV004,S02,53.7,37.1,4.16,0
R00285,2026-05-23,DEV005,S03,35.9,64.3,10.37,0
R00286,2026-05-23,DEV006,S04,52.7,55.2,14.52,0
R00287,2026-05-24,DEV007,S05,45.9,68.6,4.66,0
R00288,2026-05-24,DEV008,S06,56.9,44.0,3.47,0
R00289,2026-05-25,DEV001,S01,45.6,40.8,6.96,0
R00290,2026-05-25,DEV002,S02,65.8,62.5,12.34,0
R00291,2026-05-26,DEV003,S03,54.5,39.2,11.46,0
R00292,2026-05-26,DEV004,S04,49.7,72.6,14.68,0
R00293,2026-05-27,DEV005,S05,57.6,47.5,6.65,0
R00294,2026-05-27,DEV006,S06,55.9,51.0,3.32,0
R00295,2026-05-28,DEV007,S01,49.5,67.8,12.61,0
R00296,2026-05-28,DEV008,S02,72.7,79.2,12.42,1
R00297,2026-05-29,DEV001,S03,50.3,67.2,2.7,0
R00298,2026-05-29,DEV002,S04,74.8,70.4,5.45,0
R00299,2026-05-30,DEV003,S05,54.2,48.6,12.34,0
R00300,2026-05-30,DEV004,S06,51.3,74.0,14.01,0
R00301,2026-05-31,DEV005,S01,73.8,54.0,6.45,0
R00302,2026-05-31,DEV006,S02,84.5,80.2,4.47,2
R00303,2026-06-01,DEV007,S03,47.2,74.4,11.83,0
R00304,2026-06-01,DEV008,S04,42.1,57.3,14.5,0
R00305,2026-06-02,DEV001,S05,29.8,48.7,10.64,0
R00306,2026-06-02,DEV002,S06,82.1,82.3,8.1,2
R00307,2026-06-03,DEV003,S01,74.6,83.6,6.28,1
R00308,2026-06-03,DEV004,S02,38.6,48.0,12.17,0
R00309,2026-06-04,DEV005,S03,32.9,62.3,14.09,0
R00310,2026-06-04,DEV006,S04,36.9,66.4,8.89,0
R00311,2026-06-05,DEV007,S05,85.8,60.7,8.38,1
R00312,2026-06-05,DEV008,S06,81.8,72.6,3.89,1
R00313,2026-06-06,DEV001,S01,75.4,55.0,14.59,0
R00314,2026-06-06,DEV002,S02,85.6,59.7,7.41,1
R00315,2026-06-07,DEV003,S03,38.5,48.8,4.68,0
R00316,2026-06-07,DEV004,S04,34.8,71.5,2.67,0
R00317,2026-06-08,DEV005,S05,62.3,64.9,11.56,0
R00318,2026-06-08,DEV006,S06,60.3,81.4,5.66,1
R00319,2026-06-09,DEV007,S01,30.0,64.1,5.5,0
R00320,2026-06-09,DEV008,S02,87.2,81.1,10.94,2
R00321,2026-06-10,DEV001,S03,77.4,47.2,8.3,0
R00322,2026-06-10,DEV002,S04,48.5,52.3,6.86,0
R00323,2026-06-11,DEV003,S05,54.6,67.7,2.33,0
R00324,2026-06-11,DEV004,S06,58.5,41.4,14.59,0
R00325,2026-06-12,DEV005,S01,59.3,64.5,6.1,0
R00326,2026-06-12,DEV006,S02,69.2,70.5,13.83,0
R00327,2026-06-13,DEV007,S03,61.2,48.5,10.17,0
R00328,2026-06-13,DEV008,S04,27.2,72.2,5.99,0
R00329,2026-06-14,DEV001,S05,70.0,41.6,9.77,0
R00330,2026-06-14,DEV002,S06,34.8,36.8,5.43,0
R00331,2026-06-15,DEV003,S01,78.3,54.4,8.8,0
R00332,2026-06-15,DEV004,S02,74.6,83.9,5.37,1
R00333,2026-06-16,DEV005,S03,68.4,74.1,12.32,0
R00334,2026-06-16,DEV006,S04,46.2,58.7,12.19,0
R00335,2026-06-17,DEV007,S05,40.1,59.3,10.24,0
R00336,2026-06-17,DEV008,S06,78.5,47.2,10.65,0
R00337,2026-06-18,DEV001,S01,37.9,42.8,8.2,0
R00338,2026-06-18,DEV002,S02,65.5,67.0,14.33,0
R00339,2026-06-19,DEV003,S03,34.5,61.5,8.24,0
R00340,2026-06-19,DEV004,S04,40.6,80.9,3.87,1
R00341,2026-06-20,DEV005,S05,40.7,37.0,10.37,0
R00342,2026-06-20,DEV006,S06,66.1,46.2,13.98,0
R00343,2026-06-21,DEV007,S01,64.6,45.1,14.24,0
R00344,2026-06-21,DEV008,S02,78.6,50.7,13.24,0
R00345,2026-06-22,DEV001,S03,32.3,52.4,7.44,0
R00346,2026-06-22,DEV002,S04,85.1,49.9,7.02,1
R00347,2026-06-23,DEV003,S05,37.3,76.0,4.39,0
R00348,2026-06-23,DEV004,S06,78.3,52.0,9.15,0
R00349,2026-06-24,DEV005,S01,80.1,48.3,8.87,1
R00350,2026-06-24,DEV006,S02,64.7,63.9,7.3,0
R00351,2026-06-25,DEV007,S03,65.3,50.7,4.02,0
R00352,2026-06-25,DEV008,S04,24.6,65.3,9.46,0
R00353,2026-06-26,DEV001,S05,75.2,42.8,10.75,0
R00354,2026-06-26,DEV002,S06,53.0,61.3,12.81,0
R00355,2026-06-27,DEV003,S01,57.2,56.8,10.39,0
R00356,2026-06-27,DEV004,S02,33.5,78.6,8.73,1
R00357,2026-06-28,DEV005,S03,26.7,59.1,14.29,0
R00358,2026-06-28,DEV006,S04,86.6,56.3,5.45,1
R00359,2026-06-29,DEV007,S05,83.9,49.2,2.23,1
R00360,2026-06-29,DEV008,S06,39.8,58.5,10.76,0
R00361,2026-06-30,DEV001,S01,28.3,51.7,11.46,0
R00362,2026-06-30,DEV002,S02,46.0,43.8,11.24,0
R00363,2026-07-01,DEV003,S03,51.9,69.8,8.3,0
R00364,2026-07-01,DEV004,S04,76.0,60.6,14.68,0
R00365,2026-07-02,DEV005,S05,76.0,71.1,8.37,0
R00366,2026-07-02,DEV006,S06,63.0,53.8,2.99,0
R00367,2026-07-03,DEV007,S01,80.6,75.4,11.97,1
R00368,2026-07-03,DEV008,S02,79.0,62.5,14.93,0
R00369,2026-07-04,DEV001,S03,54.3,84.0,3.05,1
R00370,2026-07-04,DEV002,S04,48.2,63.6,12.64,0
R00371,2026-07-05,DEV003,S05,57.3,74.5,6.86,0
R00372,2026-07-05,DEV004,S06,67.3,74.8,9.8,0
R00373,2026-07-06,DEV005,S01,25.3,67.8,2.0,0
R00374,2026-07-06,DEV006,S02,43.4,40.7,11.92,0
R00375,2026-07-07,DEV007,S03,34.8,71.0,2.94,0
R00376,2026-07-07,DEV008,S04,37.2,69.8,14.02,0
R00377,2026-07-08,DEV001,S05,28.6,65.7,7.17,0
R00378,2026-07-08,DEV002,S06,63.8,38.9,2.22,0
R00379,2026-07-09,DEV003,S01,29.0,79.6,8.38,1
R00380,2026-07-09,DEV004,S02,63.2,41.7,10.92,0
R00381,2026-07-10,DEV005,S03,81.7,44.9,12.15,1
R00382,2026-07-10,DEV006,S04,78.3,84.6,9.36,1
R00383,2026-07-11,DEV007,S05,65.3,52.2,12.15,0
R00384,2026-07-11,DEV008,S06,43.9,66.2,10.15,0
R00385,2026-07-12,DEV001,S01,87.3,74.4,3.25,1
R00386,2026-07-12,DEV002,S02,35.3,52.9,7.15,0
R00387,2026-07-13,DEV003,S03,69.9,48.0,9.27,0
R00388,2026-07-13,DEV004,S04,52.9,50.3,10.35,0
R00389,2026-07-14,DEV005,S05,51.8,84.0,3.68,1
R00390,2026-07-14,DEV006,S06,81.5,66.9,7.97,1
R00391,2026-07-15,DEV007,S01,29.0,67.3,12.44,0
R00392,2026-07-15,DEV008,S02,46.4,70.6,8.91,0
R00393,2026-07-16,DEV001,S03,29.8,78.0,6.05,1
R00394,2026-07-16,DEV002,S04,54.7,73.1,13.39,0
R00395,2026-07-17,DEV003,S05,78.6,53.4,13.01,0
R00396,2026-07-17,DEV004,S06,33.8,62.6,7.62,0
R00397,2026-07-18,DEV005,S01,79.4,71.1,10.57,0
R00398,2026-07-18,DEV006,S02,75.9,52.4,7.77,0
R00399,2026-07-19,DEV007,S03,30.6,52.5,4.59,0
R00400,2026-07-19,DEV008,S04,70.8,41.5,13.89,0
R00401,2026-07-20,DEV001,S05,62.4,57.3,3.55,0
R00402,2026-07-20,DEV002,S06,52.6,63.2,3.87,0
R00403,2026-07-21,DEV003,S01,86.5,53.0,7.65,1
R00404,2026-07-21,DEV004,S02,42.2,53.7,5.59,0
R00405,2026-07-22,DEV005,S03,78.7,38.6,6.74,0
R00406,2026-07-22,DEV006,S04,62.2,59.0,6.22,0
R00407,2026-07-23,DEV007,S05,55.0,38.1,5.99,0
R00408,2026-07-23,DEV008,S06,51.9,73.3,7.59,0
R00409,2026-07-24,DEV001,S01,50.6,67.7,5.6,0
R00410,2026-07-24,DEV002,S02,59.2,44.7,10.02,0
R00411,2026-07-25,DEV003,S03,58.5,67.7,13.37,0
R00412,2026-07-25,DEV004,S04,74.9,84.4,5.03,1
R00413,2026-07-26,DEV005,S05,85.1,57.2,6.77,1
R00414,2026-07-26,DEV006,S06,53.1,81.1,14.41,1
R00415,2026-07-27,DEV007,S01,75.5,50.1,3.54,0
R00416,2026-07-27,DEV008,S02,37.0,68.6,11.13,0
R00417,2026-07-28,DEV001,S03,28.2,35.2,14.94,0
R00418,2026-07-28,DEV002,S04,45.6,37.1,8.05,0
R00419,2026-07-29,DEV003,S05,30.3,75.7,8.88,0
R00420,2026-07-29,DEV004,S06,63.2,81.4,3.62,1
R00421,2026-07-30,DEV005,S01,37.8,74.3,9.89,0
