order_id,order_date,customer_id,product,region,quantity,unit_price,sales_amount,channel
ORD00052,2025-05-27,CUST0533,Mouse,North,9,3200,28800,Partner
ORD00053,2026-11-12,CUST1321,Tablet,South,7,65000,455000,Retail
ORD00054,2026-09-02,CUST1542,Tablet,South,3,28000,84000,Retail
ORD00055,2025-02-19,CUST2505,Laptop,North,2,12500,error,Online
ORD00056,2025-04-03,CUST0215,Laptop,North,10,12500,125000,Online
ORD00057,2025-02-17,CUST0285,Tablet,East,8,2200,17600,Retail
ORD00058,2026-02-13,CUST0088,Headset,South,9,28000,252000,Partner
ORD00059,2026-11-24,CUST1250,Keyboard,South,7,65000,455000,Retail
ORD00060,2026-02-16,CUST2746,Laptop,South,4,65000,260000,Partner
ORD00061,2025-12-02,CUST1806,Webcam,South,8,900,7200,Retail
ORD00062,2025-07-11,CUST1588,Keyboard,East,10,12500,125000,Retail
ORD00063,2026-07-30,CUST1421,Headset,West,7,3200,22400,Retail
ORD00064,2026-04-23,CUST2877,Headset,North,8,3200,25600,Online
ORD00065,2026-06-19,CUST2910,Keyboard,South,4,900,3600,Partner
ORD00066,2026-08-02,CUST2458,Keyboard, north,4,65000,260000,Online
ORD00067,2026-02-27,CUST2026,Keyboard,South,1,900,900,Retail
ORD00068,2025-11-28,CUST2725,Laptop,North,7,28000,196000,
ORD00069,2025-05-04,CUST2991,Webcam,East,5,4500,22500,Online
ORD00070,2025-05-23,CUST0972,Keyboard,East,4,65000,260000,Online
ORD00071,2026-01-17,CUST1193,Monitor,West,7,900,6300,Partner
ORD00072,2025-01-15,CUST2704,Webcam,South,2,18000,36000,Partner
ORD00073,2025-09-14,CUST1200,Printer,North,8,12500,100000,Retail
ORD00074,2026-12-26,CUST0906,Webcam,East,3,900,2700,Partner
ORD00075,2025-03-09,CUST2610,Mouse,East,4,3200,12800,Retail
ORD00076,2025-11-09,CUST2006,Mouse,North,2,28000,56000,Retail
ORD00077,2025-11-07,CUST1859,Mouse,North,8,12500,100000,Retail
ORD00078,2025-05-08,CUST0127,Webcam,West,10,3200,32000,Online
ORD00079,2025-10-21,CUST0517,Webcam,South,10,12500,125000,Retail
ORD00080,2025-10-05,CUST2967,Monitor,North,4,4500,18000,Online
ORD00081,2025-01-04,CUST1095,Headset,West,2,28000,56000,Online
ORD00082,2026-08-12,CUST1922,Keyboard,North,4,4500,18000,Partner
ORD00083,2026-01-25,CUST0290,Keyboard,West,1,65000,65000,Partner
ORD00084,2026-10-03,CUST2387,Laptop,North,8,900,7200,Retail
ORD00085,2026-04-21,CUST2634,Webcam,East,8,28000,224000,Retail
ORD00086,2026-09-12,CUST2547,Printer,South,8,18000,144000,Partner
ORD00087,2025-11-28,CUST2320,Webcam,South,2,12500,25000,Partner
ORD00088,2026-07-03,CUST1910,Headset,South,9,900,8100,Retail
ORD00089,2025-05-06,CUST1321,Monitor,North,7,2200,15400,Online
ORD00090,2025-01-01,CUST0830,Printer,EAST,5,4500,22500,Partner
ORD00091,2025-05-16,CUST0388,Printer,South,3,2200,6600,Retail
ORD00092,2026-06-28,CUST1587,Webcam,West,5,18000,90000,Online
ORD00093,2026-06-22,CUST0304,Webcam,East,5,900,4500,Retail
ORD00094,2026-05-25,CUST0635,Headset,West,8,900,7200,Partner
ORD00095,2025-10-28,CUST2951,Keyboard,South,5,12500,62500,Retail
ORD00096,2026-12-14,CUST1498,Keyboard,West,9,12500,112500,Online
ORD00097,2025-01-18,CUST0209,Headset,North,2,900,1800,Online
ORD00098,2026-04-17,CUST0422,Laptop,South,10,3200,32000,Online
ORD00099,2025-09-12,CUST0363,Headset,South,9,4500,40500,Retail
ORD00100,2025-07-05,CUST2515,Laptop,East,4,4500,18000,Online
